"name","county"
"Unidentified performers (Performer)","Parchman"
"White, Bukka (Performer)","Parchman"
"Garnett, Roger ""Burn Down"" (Performer)","Parchman"
"Williams, Alexander ""Neighborhood"" (Performer)","Parchman"
"Williams, Ross ""Po' Chance"" (Performer)","Parchman"
"Tucker, ""Bootmouth,"" Judge (Performer)","Parchman"
"Stewart, W. D. ""Alabama"" (Performer)","Parchman"
"Jackson, John Henry (Performer)","Parchman"
"Smith, Norman ""Blue Steel"" (Performer)","Parchman"
"Butler, Charlie, b. 1896 (Performer)","Parchman"
"Smith, Johnny (Performer)","Parchman"
"Mixon, Frank ""Gulfport Red"" (Performer)","Parchman"
"Jones, Kate W. (Performer)","Houston"
"Jones, John B. (Performer)","Houston"
"Wood, Ray (Performer)","Houston"
"Goree, John Lowry (Performer)","Houston"
"Dolores, Mary, Sister (Performer)","Houston"
"López, Gonzalo (Performer)","Houston"
"López, Cleofé (Performer)","Houston"
"Martínez, Eulalia (Performer)","Houston"
"Lomax, John A. (John Avery), 1867-1948 (Performer)","Houston"
"Goodwyn, Frank, 1911-2001 (Performer)","Falfurrias"
"Porter, Lake N. (Performer)","Falfurrias"
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Falfurrias"
"Suarez, José (Performer)","Brownsville"
"Wells, Joe K. (Performer)","Brownsville"
"Delgado, Henry (Performer)","Brownsville"
"Crixell, Tito (Performer)","Brownsville"
"Krausse, Henry, Mrs. (Performer)","Brownsville"
"Longoria, Manuela (Performer)","Brownsville"
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Brownsville"
"Reyes, Dolores (Performer)","Brownsville"
"Rodriguez, Maria (Performer)","near Brownsville"
"Unidentified girls (Performer)","near Brownsville"
"Ramirez, Ramona (Performer)","near Brownsville"
"H., Sofia (Performer)","near Brownsville"
"R., Maria (Performer)","near Brownsville"
"Arajo, Jose (Performer)","near Brownsville"
"Unidentified children (Performer)","near Brownsville"
"Hernandez, Atanviro (Performer)","near Brownsville"
"López, Gonzalo (Performer)","Sugar Land"
"López, Cleofé (Performer)","Sugar Land"
"Martínez, Eulalia (Performer)","Sugar Land"
"López, Juana (Performer)","Sugar Land"
"Casey, Smith, 1895-1950 (Performer)","Brazoria"
"Gill, Roger, blues singer (Performer)","Brazoria"
"Johnson, Ace (Performer)","Brazoria"
"Lockett, Jesse (Performer)","Brazoria"
"Unidentified performers (Performer)","Brazoria"
"Woods, Tommy (Performer)","Brazoria"
"Gooden, L. W. (Performer)","Brazoria"
"Hill, Clyde (Performer)","Brazoria"
"Acevedo, Olga (Performer)","Kingsville"
"Salazar, Isabella (Performer)","Kingsville"
"Wilson, Ruby (Performer)","Kingsville"
"Acuna, Valdemar (Performer)","Kingsville"
"Hernandez, Leonaldo (Performer)","Kingsville"
"Salinas, Agapito (Performer)","Kingsville"
"Leal, Francisco (Performer)","Kingsville"
"Moye, Carmen Taffinder (Performer)","Kingsville"
"Moye, William A. (Performer)","Kingsville"
"Unidentified children (Performer)","Kingsville"
"Moye, Margaret (Performer)","Kingsville"
"Moye, Jimmie (Performer)","Kingsville"
"Moye, Willie (Performer)","Kingsville"
"Moye, Carmen Taffinder with children (Performer)","Kingsville"
"Fitzpatrick, Ella Mae (Performer)","near Huntsville"
"McMurray, Doris (Performer)","near Huntsville"
"Raymond, Gene (Performer)","near Huntsville"
"Austin, Lavena (Performer)","near Huntsville"
"Stewart, Mozelle (Performer)","near Huntsville"
