"name","county","Data"
"Unidentified performers (Performer)","Parchman","Black, Convict"
"White, Bukka (Performer)","Parchman","Black, Convict"
"Garnett, Roger ""Burn Down"" (Performer)","Parchman","Black, Convict"
"Williams, Alexander ""Neighborhood"" (Performer)","Parchman","Black, Convict"
"Williams, Ross ""Po' Chance"" (Performer)","Parchman","Black, Convict"
"Tucker, ""Bootmouth,"" Judge (Performer)","Parchman","Black, Convict"
"Stewart, W. D. ""Alabama"" (Performer)","Parchman","Black, Convict"
"Jackson, John Henry (Performer)","Parchman","Black, Convict"
"Smith, Norman ""Blue Steel"" (Performer)","Parchman","Black, Convict"
"Butler, Charlie, b. 1896 (Performer)","Parchman","Black, Convict"
"Smith, Johnny (Performer)","Parchman","Black, Convict"
"Mixon, Frank ""Gulfport Red"" (Performer)","Parchman","Black, Convict"
"Jones, Kate W. (Performer)","Houston",""
"Jones, John B. (Performer)","Houston",""
"Wood, Ray (Performer)","Houston",""
"Goree, John Lowry (Performer)","Houston",""
"Dolores, Mary, Sister (Performer)","Houston",""
"López, Gonzalo (Performer)","Houston","Mexican Heritage"
"López, Cleofé (Performer)","Houston","Mexican Heritage"
"Martínez, Eulalia (Performer)","Houston","Mexican Heritage"
"Lomax, John A. (John Avery), 1867-1948 (Performer)","Houston","Lomax"
"Goodwyn, Frank, 1911-2001 (Performer)","Falfurrias",""
"Porter, Lake N. (Performer)","Falfurrias",""
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Falfurrias","Lomax"
"Suarez, José (Performer)","Brownsville","Mexican Heritage"
"Wells, Joe K. (Performer)","Brownsville",""
"Delgado, Henry (Performer)","Brownsville","Mexican Heritage"
"Crixell, Tito (Performer)","Brownsville","Mexican Heritage"
"Krausse, Henry, Mrs. (Performer)","Brownsville","Mexican Heritage"
"Longoria, Manuela (Performer)","Brownsville","Mexican Heritage"
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Brownsville","Lomax"
"Reyes, Dolores (Performer)","Brownsville","Mexican Heritage"
"Rodriguez, Maria (Performer)","near Brownsville","Mexican Heritage"
"Unidentified girls (Performer)","near Brownsville","Mexican Heritage"
"Ramirez, Ramona (Performer)","near Brownsville","Mexican Heritage"
"H., Sofia (Performer)","near Brownsville","Mexican Heritage"
"R., Maria (Performer)","near Brownsville","Mexican Heritage"
"Arajo, Jose (Performer)","near Brownsville","Mexican Heritage"
"Unidentified children (Performer)","near Brownsville","Mexican Heritage"
"Hernandez, Atanviro (Performer)","near Brownsville","Mexican Heritage"
"López, Gonzalo (Performer)","Sugar Land","Mexican Heritage"
"López, Cleofé (Performer)","Sugar Land","Mexican Heritage"
"Martínez, Eulalia (Performer)","Sugar Land","Mexican Heritage"
"López, Juana (Performer)","Sugar Land","Mexican Heritage"
"Casey, Smith, 1895-1950 (Performer)","Brazoria","Black, Convict"
"Gill, Roger, blues singer (Performer)","Brazoria","Black, Convict"
"Johnson, Ace (Performer)","Brazoria","Black, Convict"
"Lockett, Jesse (Performer)","Brazoria","Black, Convict"
"Unidentified performers (Performer)","Brazoria","Black, Convict"
"Woods, Tommy (Performer)","Brazoria","Black, Convict"
"Gooden, L. W. (Performer)","Brazoria","Black, Convict"
"Hill, Clyde (Performer)","Brazoria","Black, Convict"
"Acevedo, Olga (Performer)","Kingsville","Mexican Heritage"
"Salazar, Isabella (Performer)","Kingsville","Mexican Heritage"
"Wilson, Ruby (Performer)","Kingsville",""
"Acuna, Valdemar (Performer)","Kingsville","Mexican Heritage"
"Hernandez, Leonaldo (Performer)","Kingsville","Mexican Heritage"
"Salinas, Agapito (Performer)","Kingsville","Mexican Heritage"
"Leal, Francisco (Performer)","Kingsville","Mexican Heritage"
"Moye, Carmen Taffinder (Performer)","Kingsville","Mexican Heritage"
"Moye, William A. (Performer)","Kingsville",""
"Unidentified children (Performer)","Kingsville",""
"Moye, Margaret (Performer)","Kingsville","Mexican Heritage"
"Moye, Jimmie (Performer)","Kingsville","Mexican Heritage"
"Moye, Willie (Performer)","Kingsville","Mexican Heritage"
"Moye, Carmen Taffinder with children (Performer)","Kingsville","Mexican Heritage"
"Fitzpatrick, Ella Mae (Performer)","near Huntsville","Black, Convict"
"McMurray, Doris (Performer)","near Huntsville","Black, Convict"
"Raymond, Gene (Performer)","near Huntsville","Black, Convict"
"Austin, Lavena (Performer)","near Huntsville","Black, Convict"
"Stewart, Mozelle (Performer)","near Huntsville","Black, Convict"
"Hart, Jimmie Lee (Performer)","near Huntsville","Black, Convict"
"Ellis, Hattie, 1913- (Performer)","near Huntsville","Black, Convict"
"Longino, Grace (Performer)","Huntsville",""
"Lewis, Richard L. (Performer)","Huntsville","Black, Convict"
"Gilliam, Wilbert (Performer)","Huntsville","Black, Convict"
"Warner, Pop (Performer)","Huntsville","Black, Convict"
"Evans, Lawrence (Performer)","Huntsville","Black, Convict"
"Blacker, Eugene (Performer)","Huntsville","Black, Convict"
"Conley, Terrell (Performer)","Huntsville","Black, Convict"
"Brown, Alvin (Performer)","Huntsville","Black, Convict"
"Brown, William (Performer)","Huntsville","Black, Convict"
"Salinas, Manuel (Performer)","Sarita","Mexican Heritage"
"López, Homero (Performer)","Sarita","Mexican Heritage"
"Goodwyn, Frank, 1911-2001 (Performer)","Sarita",""
"Baker, James ""Iron Head"" (Performer)","Otey","Black, Convict"
"Hamilton, Alexander (Performer)","Otey","Black, Convict"
"Chains, Wallace (Performer)","Otey","Black, Convict"
"Harrison, W. S., ""Jay Bird"" (Performer)","Otey","Black, Convict"
"Jones, Sylvester, 1896-1962 (Performer)","Otey","Black, Convict"
"Unidentified performers (Performer)","Otey","Black, Convict"
"Bolden, Brant (Performer)","Otey","Black, Convict"
"Christopher, Columbus (Performer)","Otey","Black, Convict"
"Ramsey, George (Performer)","Otey","Black, Convict"
"Platt, Mose ""Clear Rock"" (Performer)","Taylor","Black"
"Duggan, Shirley Lomax, 1905-1996 (Performer)","near Comanche","Lomax"
"Knight, Rowena (Performer)","near Newton","Black"
"Knight, Mary Anne (Performer)","near Newton","Black"
"Hawthorne, Jerusha (Performer)","near Newton","Black"
"Hawthorn, Thelma (Performer)","near Newton","Black"
"Liberty High School Quartet (Performer)","near Newton","Black, Children"
"Hunter, Freddie C. (Performer)","near Newton","Black"
"Hunter, Bessie Helen (Performer)","near Newton","Black"
"Unidentified children (Performer)","near Newton","Black"
"McGuire, Hattie (Performer)","near Newton",""
"Maltox, Margie (Performer)","near Newton","Black"
"Unidentified girls (Performer)","near Newton","Black"
"Simmons, Allene (Performer)","near Newton","Black"
"Henson, Doris (Performer)","near Newton","Black"
"McBrise, Ella (Performer)","near Newton","Black"
"McBride, Leroy (Performer)","near Newton","Black"
"Jones, Willie Mae (Performer)","near Newton","Black"
"Holmes, Sevilla (Performer)","near Newton","Black"
"Briggs, E. A. (Performer)","near Medina",""
"Taylor, Beal D. (Performer)","near Medina",""
"Braley, N. V., Mrs. (Performer)","near Medina",""
"Braley, N. V. (Performer)","near Medina",""
"Taylor, Loretta (Performer)","near Medina",""
"Truvillion, Henry (Performer)","between Newton and Burkeville","Black"
"Truvillion, Ruby Lee (Performer)","between Newton and Burkeville","Black"
"Truvillion, Modestine (Performer)","between Newton and Burkeville","Black"
"Eckhardt, Charles (Performer)","Bandera",""
"Swathoff, Clinton (Performer)","Bandera",""
"Evans, J. Otis (Performer)","Bandera",""
"Newcomer, Elmo (Performer)","Bandera",""
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Bandera","Lomax"
"Newcomer, Elmo (Performer)","near Pipe Creek",""
"Newcomer, Bill (Performer)","near Pipe Creek",""
"Unidentified children (Performer)","Burkeville","Black"
"Ford, Ottie Brails (Performer)","Burkeville","Black"
"Sullivan, Theresa (Performer)","Burkeville","Black"
"Simmons, Pearline (Performer)","Burkeville","Black"
"Hall, Vera, d. 1964 (Performer)","Livingston","Black"
"Reed, Dock (Performer)","Livingston","Black"
"Allison, Jesse (Performer)","Livingston","Black"
"Hampton, Florida, Aunt (Performer)","Livingston","Black"
"Brown, Enoch (Performer)","Livingston","Black"
"Jones, Ed (Performer)","Livingston",""
"Donner, Ben (Performer)","Livingston",""
"Tartt, Sims (Performer)","Livingston","Black"
"Atmore, Bettie (Performer)","Livingston",""
"Tartt, Mandy (Performer)","Livingston","Black"
"Godfrey, Hettie (Performer)","Livingston","Black"
"Unidentified performers (Performer)","Livingston",""
"Ward, Henry, Rev. (Performer)","Livingston",""
"Tollman, Mary (Performer)","Livingston",""
"Lewis, Celina (Performer)","Livingston","Black"
"Washington, Earlene (Performer)","Livingston",""
"Williams, Simon (Performer)","Livingston","Black"
"Allison, Jesse, Jr. (Performer)","Livingston",""
"Allison, Albert ""Tied-tongue"" (Performer)","Livingston",""
"Chapman, Robert (Performer)","Livingston",""
"Horton, Jeff (Performer)","Livingston","Black"
"Eason, Rev. (Performer)","Livingston",""
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Livingston","Lomax"
"Clark, S. L. (Performer)","Livingston",""
"McDonald family (Performer)","near Livingston","Black"
"McDonald, Jane (Performer)","near Livingston","Black"
"McDonald, Joe (Performer)","near Livingston","Black"
"McDonald, Molly, Aunt (Performer)","near Livingston","Black"
